Thread ID: 5693420
Total: 4.460886
Sort by: self_time

 %self     total     self     wait    child    calls   name
201.41     22.27     8.98     0.00    13.29  2061802   MyApp#asd 
123.71      5.52     5.52     0.00     0.00  2061802   Float#to_s 
120.27     10.88     5.36     0.00     5.52  2061804   MyApp#omg 
 80.04     28.25     3.57     0.00    24.67        2   MyApp#target_code 
 53.95      2.41     2.41     0.00     0.00  2061800   Float#to_f 
 53.80      2.40     2.40     0.00     0.00  2061802   Float#< 
  0.05      0.00     0.00     0.00     0.00        2   <Class::Sinatra::Base>#mime_type 
  0.00     28.25     0.00     0.00    28.25        4   Sinatra::Base#call! 
  0.00      0.00     0.00     0.00     0.00        6   Sinatra::Helpers#content_type 
  0.00      0.00     0.00     0.00     0.00       30   Kernel#respond_to? 
  0.00      0.00     0.00     0.00     0.00       18   Sinatra::Base#settings 
  0.00     28.25     0.00     0.00    28.25        4   Sinatra::Base#invoke 
  0.00      0.00     0.00     0.00     0.00        8   Rack::Utils::HeaderHash#[]= 
  0.00      0.00     0.00     0.00     0.00        2   Rack::Response#initialize 
  0.00      0.00     0.00     0.00     0.00        8   Sinatra::Base#filter! 
  0.00      0.00     0.00     0.00     0.00        8   <Class::Sinatra::Base>#public_folder 
  0.00      0.00     0.00     0.00     0.00       10   Class#new 
  0.00     28.25     0.00     0.00    28.25        2   Sinatra::Base#dispatch! 
  0.00      0.00     0.00     0.00     0.00       36   Hash#[]= 
  0.00     28.25     0.00     0.00    28.25        2   Sinatra::Base#process_route 
  0.00      0.00     0.00     0.00     0.00        2   Sinatra::Response#finish 
  0.00      0.00     0.00     0.00     0.00       14   Kernel#initialize_dup 
  0.00      0.00     0.00     0.00     0.00        2   Rack::Protection::PathTraversal#cleanup 
  0.00     56.49     0.00     0.00    56.49        6   Kernel#catch 
  0.00     56.50     0.00     0.00    56.50        4   Rack::Protection::XSSHeader#call 
  0.00      0.00     0.00     0.00     0.00        6   Sinatra::Helpers#body 
  0.00      0.00     0.00     0.00     0.00        6   Kernel#dup 
  0.00      0.00     0.00     0.00     0.00       20   <Class::Sinatra::Base>#settings 
  0.00      4.46     0.00     0.00     4.46        3   MultiProfiler#prof 
  0.00      0.00     0.00     0.00     0.00        6   Array#join 
  0.00      0.00     0.00     0.00     0.00        4   String#gsub 
  0.00      0.00     0.00     0.00     0.00       28   Kernel#respond_to_missing? 
  0.00      0.00     0.00     0.00     0.00        2   Sinatra::Base#error_block! 
  0.00      0.00     0.00     0.00     0.00        8   Hash#merge 
  0.00      0.00     0.00     0.00     0.00        6   String#split 
  0.00      0.00     0.00     0.00     0.00        4   <Class::Sinatra::Base>#force_encoding 
  0.00      0.00     0.00     0.00     0.00        4   Rack::Utils::HeaderHash#[] 
  0.00      0.00     0.00     0.00     0.00        2   Rack::Request#POST 
  0.00      0.00     0.00     0.00     0.00       24   Module#=== 
  0.00      0.00     0.00     0.00     0.00        8   Array#include? 
  0.00      0.00     0.00     0.00     0.00        8   Hash#each 
  0.00     28.25     0.00     0.00    28.25        2   Rack::Protection::JsonCsrf#call 
  0.00      0.00     0.00     0.00     0.00       10   String#== 
  0.00      0.00     0.00     0.00     0.00       16   <Class::Sinatra::Base>#root 
  0.00      0.00     0.00     0.00     0.00       14   String#downcase 
  0.00     28.25     0.00     0.00    28.25        2   Rack::Protection::PathTraversal#call 
  0.00      0.00     0.00     0.00     0.00        2   Rack::Request#GET 
  0.00     56.49     0.00     0.00    56.49        4   Method#call 
